,,09월 10일,10월 11일,11월 12일,12월 13일,13/14,ranking
Aalesunds FK,Nor,0.42,1.475,1.96,1.98,0.52,6.355
Dundee United,Sco,0.5332,2.22,1.05,1.86,0.65,6.313
Malmö FF,Swe,0.5,0.52,2.58,1.025,1.64,6.265
Kalmar FF,Swe,1.5,1.52,0.58,2.025,0.64,6.265
Austria,,1.875,0.875,1.425,0.45,1.56,6.185
FC Zestafoni,Geo,0.85,1.375,2.075,1.3,0.375,5.975
Slaven Koprivnica,Cro,1.6,0.825,0.75,1.875,0.875,5.925
Czech Republic,,0.82,0.7,1.05,1.7,1.6,5.87
FH Hafnarfjardar,Isl,1.25,1.075,0.775,0.75,2,5.85
Ruch Chorzow,Pol,0.425,1.9,1.325,1.5,0.625,5.775
IFK Göteborg,Swe,1.5,1.52,0.58,1.025,1.14,5.765
AC Horsens,Den,0.88,1.34,0.62,2.16,0.76,5.76
FK Minsk,Bls,0.675,1.175,1.125,0.9,1.85,5.725
FC Gomel,Bls,0.675,1.175,1.625,1.9,0.35,5.725
APOP Kinyras Peyias,Cyp,1.85,0.625,1.825,0.8,0.55,5.65
Zeljeznicar Sarajevo,Bos,0.35,1.375,1.225,1.25,1.3,5.5
FK Sarajevo,Bos,1.85,0.375,1.225,1.25,0.8,5.5
Romania,,1.2166,0.6332,0.8666,1.36,1.375,5.451
Shakhtyor Karaganda,Kaz,0.25,0.425,0.825,1.275,2.625,5.4
Israel,,1.45,0.925,1.2,0.65,1.15,5.375
KR Reykjavik,Isl,1.25,0.575,1.275,1.25,1,5.35
BK Häcken,Swe,0.5,0.52,1.58,1.025,1.64,5.265
AaB Aalborg,Den,1.38,1.34,0.62,0.66,1.26,5.26
Shakhtior Saligorsk,Bls,0.675,1.175,1.125,1.4,0.85,5.225
Dnepr Mogilev,Bls,0.675,2.675,0.625,0.9,0.35,5.225
Spartak Trnava,Svk,1,0.6,1.975,1.3,0.325,5.2
Stabæk IF,Nor,1.92,0.975,0.46,1.23,0.52,5.105
Dacia Chisinau,Mol,0.925,0.925,1.1,0.95,1.175,5.075
Jagiellonia Bialystok,Pol,0.425,1.9,1.575,0.5,0.625,5.025
Shamrock Rovers,Irl,0.275,1.2,2.3,1.2,0.05,5.025
Dila Gori,Geo,0.35,0.375,0.575,1.8,1.875,4.975
Differdange 03,Lux,0.55,0.625,1.725,0.775,1.3,4.975
F91 Dudelange,Lux,1.05,0.375,1.225,1.775,0.55,4.975
