,,12월 13일,13/14,14/15,15/16,16/17,ranking
Olimpi Rustavi,Geo,0.8,0.375,0.25,0.125,0.225,1.775
FC Lusitanos,And,0.5,0.5666,0.1,0.2832,0.2832,1.733
Iceland,,0.25,0.5,0.5,0.225,0.2,1.675
Glenavon,Nir,0.2,0.175,0.525,0.4,0.35,1.65
FK Trakai,Lit,0.225,0.25,0.1,0.65,0.35,1.575
Tre Penne,Sma,0.5,0.5666,,,0.5,1.566
La Fiorita,Sma,0.25,0.3166,0.5,0.25,0.25,1.566
Drogheda United,Irl,0.2,0.3,0.4,0.14,0.525,1.565
Bohemians Dublin,Irl,0.45,0.05,0.4,0.14,0.525,1.565
Radnik Bijeljina,Bos,0.25,0.3,0.35,0.3,0.35,1.55
Sloboda Tuzla,Bos,0.25,0.3,0.35,0.3,0.35,1.55
Trans Narva,Est,0.325,0.45,0.3,0.2,0.275,1.55
Olimpic Sarajevo,Bos,0.25,0.3,0.35,0.55,0.1,1.55
FK Borac Banja Luka,Bos,0.5,0.3,0.35,0.3,0.1,1.55
Finland,,0.4,0.1,0.48,0.2,0.35,1.53
Samtredia,Geo,0.3,0.375,0.25,0.125,0.475,1.525
Bala Town,Wal,0.1,0.4,0.025,0.55,0.45,1.525
Dinamo Batumi,Geo,0.3,0.375,0.25,0.375,0.225,1.525
Spartak Tskhinvali,Geo,0.3,0.375,0.25,0.375,0.225,1.525
Mika Ashtarak,Arm,0.175,0.475,0.325,0.325,0.225,1.525
Sioni Bolnisi,Geo,0.3,0.375,0.5,0.125,0.225,1.525
Airbus UK Broughton,Wal,0.1,0.4,0.275,0.55,0.2,1.525
Europa FC,Gib,,,0.3,0.4,0.8,1.5
Daugava Riga,Lat,0.25,0.325,0.3,0.325,0.275,1.475
NSI Runavik,Far,0.35,0.175,0.275,0.325,0.325,1.45
Glentoran,Nir,0.2,0.425,0.275,0.4,0.1,1.4
Portadown,Nir,0.7,0.175,0.275,0.15,0.1,1.4
Sileks Kratovo,Mac,0.25,0.1,0.225,0.3,0.5,1.375
Teteks Tetovo,Mac,0.25,0.35,0.225,0.3,0.25,1.375
Kruoja Pakruojis,Lit,0.225,0.5,0.1,0.4,0.1,1.325
Albania,,0.15,0.4,0.175,0.425,0.175,1.325
Ireland,,0.2,0.05,0.4,0.14,0.525,1.315
FCI Tallinn,Est,0.075,0.2,0.3,0.2,0.525,1.3
Balzan FC,Mlt,0.175,0.175,0.025,0.425,0.5,1.3
Bokelj Kotor,Mon,0.275,0.25,0.15,0.2,0.425,1.3
Santos Tartu,Est,0.075,0.2,0.55,0.2,0.275,1.3
Sliema Wanderers,Mlt,0.175,0.425,0.275,0.175,0.25,1.3
Lovcen Cetinje,Mon,0.275,0.25,0.4,0.2,0.175,1.3
Bosnia-Herzegovina,,0.25,0.3,0.35,0.3,0.1,1.3
Connah's Quay,Wal,0.1,0.15,0.025,0.3,0.7,1.275
Newtown,Wal,0.1,0.15,0.025,0.8,0.2,1.275
Bangor City,Wal,0.35,0.15,0.275,0.3,0.2,1.275
Prestatyn Town,Wal,0.1,0.65,0.025,0.3,0.2,1.275
Georgia,,0.3,0.375,0.25,0.125,0.225,1.275
UE Santa Coloma,And,0.25,0.3166,0.35,0.0332,0.2832,1.233
Progrès Niederkorn,Lux,0.275,0.3,0.1,0.4,0.15,1.225
CS Grevenmacher,Lux,0.525,0.3,0.1,0.15,0.15,1.225
Latvia,,0.25,0.325,0.05,0.325,0.275,1.225
IF Fuglafjørdur,Far,0.1,0.425,0.525,0.075,0.075,1.2
Macedonia,,0.25,0.1,0.225,0.3,0.25,1.125
Banga Gargzdai,Lit,0.225,0.25,0.35,0.15,0.1,1.075
FK Siauliai,Lit,0.475,0.25,0.1,0.15,0.1,1.075
Folgore,Sma,,0.0666,0.25,0.5,0.25,1.066
Floriana,Mlt,0.425,0.175,0.025,0.175,0.25,1.05
Estonia,,0.075,0.2,0.3,0.2,0.275,1.05
Montenegro,,0.275,0.25,0.15,0.2,0.175,1.05
Llandudno FC,Wal,0.1,0.15,0.025,0.3,0.45,1.025
Aberystwyth Town,Wal,0.1,0.15,0.275,0.3,0.2,1.025
Cefn Druids,Wal,0.35,0.15,0.025,0.3,0.2,1.025
Llanelli FC,Wal,0.35,0.15,0.025,0.3,0.2,1.025
Armenia,,0.175,0.225,0.075,0.325,0.225,1.025
